"No","Database","NamaFile","IDTemuan","SkorStatis","Risiko","Prioritas","Runtime"
"001","LKK","SSAS Finding-001-LKK.docx","F-005, F-006, F-007, F-008, F-051","81","KRITIS","P0","213 eksekusi; total durasi 218499 ms; P50/P95/P99 6/3346/29279 ms; maksimum 39725 ms"
"002","Segregation","SSAS Finding-002-Segregation.docx","F-027, F-028, F-052","59","SEDANG","P2","157 eksekusi; total durasi 19807 ms; P50/P95/P99 11/384/1756 ms; maksimum 8186 ms"
"003","LKK Per Divisi","SSAS Finding-003-LKK Per Divisi.docx","F-053","34","SEDANG","P2","2 eksekusi; total durasi 14085 ms; P50/P95/P99 7/14078/14078 ms; maksimum 14078 ms"
"004","Premi Panen","SSAS Finding-004-Premi Panen.docx","F-044, F-054","47","SEDANG","P2","163 eksekusi; total durasi 3723 ms; P50/P95/P99 13/79/163 ms; maksimum 167 ms"
"005","Produksi TBS","SSAS Finding-005-Produksi TBS.docx","F-001, F-002, F-003, F-004","82","KRITIS","P0","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"006","SPARTA_LHA_ENHC","SSAS Finding-006-SPARTA_LHA_ENHC.docx","F-009, F-010, F-011","78","TINGGI","P1","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"007","premi dan lembur monitoring","SSAS Finding-007-premi dan lembur monitoring.docx","F-012, F-013, F-014, F-056","72","TINGGI","P1","14 eksekusi; total durasi 1946 ms; P50/P95/P99 6/1835/1835 ms; maksimum 1835 ms"
"008","MRData","SSAS Finding-008-MRData.docx","F-015, F-016, F-017","71","TINGGI","P1","87 eksekusi; total durasi 948 ms; P50/P95/P99 7/33/41 ms; maksimum 41 ms"
"009","LkkPhase2","SSAS Finding-009-LkkPhase2.docx","F-018, F-019","63","TINGGI","P1","103 eksekusi; total durasi 1345 ms; P50/P95/P99 8/47/53 ms; maksimum 77 ms"
"010","LemburMill","SSAS Finding-010-LemburMill.docx","F-020, F-021","61","TINGGI","P1","29 eksekusi; total durasi 368 ms; P50/P95/P99 8/39/40 ms; maksimum 40 ms"
"011","Komparasi Overhead Metro","SSAS Finding-011-Komparasi Overhead Metro.docx","F-022","60","TINGGI","P1","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"012","Harvesting Management Luas Resume","SSAS Finding-012-Harvesting Management Luas Resume.docx","F-023, F-024","60","TINGGI","P1","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"013","Weekly Cost Element Estimation Report","SSAS Finding-013-Weekly Cost Element Estimation Report.docx","F-025, F-026","60","TINGGI","P1","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"014","SPARTA_LHA","SSAS Finding-014-SPARTA_LHA.docx","F-029","59","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"015","MUTU_BUAH","SSAS Finding-015-MUTU_BUAH.docx","F-030, F-031, F-032","58","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"016","LHA_bahan","SSAS Finding-016-LHA_bahan.docx","F-033","57","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"017","Areal Statement SSAS","SSAS Finding-017-Areal Statement SSAS.docx","F-034","56","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"018","LKK_DEV","SSAS Finding-018-LKK_DEV.docx","F-035, F-036","55","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"019","Harvesting Management Luas Panen","SSAS Finding-019-Harvesting Management Luas Panen.docx","F-037, F-038","53","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"020","Selling Expenses","SSAS Finding-020-Selling Expenses.docx","F-039","52","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"021","JournalPayroll","SSAS Finding-021-JournalPayroll.docx","F-040","50","SEDANG","P2","7 eksekusi; total durasi 136 ms; P50/P95/P99 10/54/54 ms; maksimum 54 ms"
"022","End to End CAPEX","SSAS Finding-022-End to End CAPEX.docx","F-041","49","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"023","Gapoktan","SSAS Finding-023-Gapoktan.docx","F-042, F-043","48","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"024","PRPOGR","SSAS Finding-024-PRPOGR.docx","F-045","47","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"025","Saldo Treasury","SSAS Finding-025-Saldo Treasury.docx","F-046, F-055","41","SEDANG","P2","10 eksekusi; total durasi 3484 ms; P50/P95/P99 311/439/439 ms; maksimum 439 ms"
"026","Laporan Gaji Sparta","SSAS Finding-026-Laporan Gaji Sparta.docx","F-047","38","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"027","Production Highlight","SSAS Finding-027-Production Highlight.docx","F-048","37","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"028","Absensi HK","SSAS Finding-028-Absensi HK.docx","F-049","34","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
"029","Harvesting Management TK Panen","SSAS Finding-029-Harvesting Management TK Panen.docx","F-050","30","SEDANG","P2","Tidak ada query BUSINESS_CANDIDATE yang terekam"
